,captured_at,channel_id,device_id,devicetype_id,height,id,latitude,location_name,longitude,original_id,sensor_id,station_id,unit,user_id,value
243,2012-01-18T02:42:14.000Z,,,,,15501112,37.410905,,141.031036667,,,,cpm,1,14883.0
244,2011-12-18T12:52:18.000Z,,,,,14894746,37.4178383333,,141.020681667,,,,cpm,1,5972.0
245,2011-12-18T12:56:50.000Z,,,,,14894800,37.4265966667,,141.021091667,,,,cpm,1,4207.0
246,2011-12-15T03:56:42.000Z,,,,,14865776,37.42807,,141.022148333,,,,cpm,1,2970.0
247,2011-12-15T03:56:37.000Z,,,,,14865775,37.4280566667,,141.022135,,,,cpm,1,2876.0
248,2011-12-15T03:56:32.000Z,,,,,14865774,37.428045,,141.022123333,,,,cpm,1,2830.0
249,2011-12-15T03:56:47.000Z,,,,,14865777,37.4281016667,,141.022155,,,,cpm,1,3008.0
250,2011-12-15T04:05:39.000Z,,,,,14865883,37.428035,,141.022095,,,,cpm,1,3466.0
251,2011-12-15T03:56:52.000Z,,,,,14865778,37.4281183333,,141.022145,,,,cpm,1,3032.0
252,2011-12-15T03:57:07.000Z,,,,,14865781,37.42812,,141.02214,,,,cpm,1,3435.0
253,2011-12-15T03:57:12.000Z,,,,,14865782,37.428115,,141.022131667,,,,cpm,1,3547.0
254,2011-12-15T03:57:02.000Z,,,,,14865780,37.428125,,141.022138333,,,,cpm,1,3321.0
255,2011-12-15T03:57:17.000Z,,,,,14865783,37.4281116667,,141.022125,,,,cpm,1,3623.0
256,2011-12-15T03:56:57.000Z,,,,,14865779,37.4281333333,,141.022143333,,,,cpm,1,3153.0
257,2011-12-15T03:57:27.000Z,,,,,14865785,37.4281,,141.02211,,,,cpm,1,3561.0
258,2011-12-15T03:57:22.000Z,,,,,14865784,37.4281083333,,141.022116667,,,,cpm,1,3595.0
259,2011-12-15T04:03:43.000Z,,,,,14865860,37.4281,,141.022108333,,,,cpm,1,3428.0
260,2011-12-15T04:05:08.000Z,,,,,14865877,37.428095,,141.022103333,,,,cpm,1,3497.0
261,2012-01-18T02:47:19.000Z,,,,,15501173,37.4108283333,,141.030956667,,,,cpm,1,7021.0
