time,cpm,lat,lon
2017-03-11T21:17:15Z,27,45.65232,13.7766016667
2017-03-11T21:17:20Z,31,45.6523883333,13.776585
2017-03-11T21:17:25Z,33,45.652465,13.776515
2017-03-11T21:17:30Z,33,45.6525266667,13.7763883333
2017-03-11T21:17:35Z,31,45.6525666667,13.77635
2017-03-11T21:17:40Z,30,45.65261,13.7762933333
2017-03-11T21:17:45Z,31,45.6526666667,13.77625
2017-03-11T21:17:50Z,28,45.6526733333,13.7763183333
2017-03-11T21:17:55Z,27,45.65269,13.776335
2017-03-11T21:18:00Z,28,45.6527766667,13.7762966667
2017-03-11T21:18:05Z,27,45.6528533333,13.776245
2017-03-11T21:18:10Z,24,45.6529016667,13.776255
2017-03-11T21:18:15Z,23,45.6529583333,13.7762383333
2017-03-11T21:18:20Z,19,45.653015,13.776235
2017-03-11T21:18:25Z,17,45.653085,13.7762083333
2017-03-11T21:18:30Z,16,45.6531433333,13.776135
2017-03-11T21:18:35Z,19,45.6531833333,13.7760683333
2017-03-11T21:18:40Z,21,45.65321,13.776015
2017-03-11T21:18:45Z,20,45.6532433333,13.7759866667
2017-03-11T21:18:50Z,23,45.6532933333,13.7759916667
2017-03-11T21:18:55Z,22,45.6533616667,13.776
2017-03-11T21:19:00Z,19,45.6533316667,13.7761483333
2017-03-11T21:19:05Z,21,45.6533566667,13.7761166667
2017-03-11T21:19:10Z,21,45.6533933333,13.776085
2017-03-11T21:19:15Z,21,45.653435,13.7760533333
2017-03-11T21:19:20Z,22,45.6534616667,13.7760683333
2017-03-11T21:19:25Z,23,45.65351,13.7760716667
2017-03-11T21:19:30Z,25,45.65354,13.776085
2017-03-11T21:19:35Z,24,45.6535366667,13.7760583333
2017-03-11T21:19:40Z,25,45.6535016667,13.7760833333
2017-03-11T21:19:45Z,26,45.653425,13.7761033333
2017-03-11T21:19:50Z,22,45.653415,13.776095
2017-03-11T21:19:55Z,22,45.6534,13.7761183333
2017-03-11T21:20:00Z,24,45.653445,13.7761783333
2017-03-11T21:20:05Z,22,45.653445,13.77619
2017-03-11T21:20:10Z,23,45.653445,13.7762016667
2017-03-11T21:20:15Z,26,45.6535083333,13.7761916667
2017-03-11T21:20:20Z,25,45.6536016667,13.7761716667
2017-03-11T21:20:25Z,25,45.653615,13.7761183333
2017-03-11T21:20:30Z,23,45.65374,13.775975
2017-03-11T21:20:35Z,22,45.6538933333,13.7758166667
2017-03-11T21:20:40Z,22,45.6539766667,13.7757483333
2017-03-11T21:20:45Z,21,45.6540283333,13.7756783333
2017-03-11T21:20:50Z,23,45.6540516667,13.7755583333
2017-03-11T21:20:55Z,23,45.6541066667,13.7755183333
2017-03-11T21:21:00Z,22,45.6541566667,13.7754966667
2017-03-11T21:21:05Z,24,45.6542116667,13.7754733333
2017-03-11T21:21:10Z,25,45.6542666667,13.775505
2017-03-11T21:21:15Z,21,45.6543266667,13.7754716667
2017-03-11T21:21:20Z,22,45.654385,13.775435
2017-03-11T21:21:25Z,22,45.6544533333,13.7754033333
2017-03-11T21:21:30Z,23,45.6545066667,13.7754033333
2017-03-11T21:21:35Z,24,45.6545383333,13.7754
2017-03-11T21:21:40Z,20,45.654575,13.77538
2017-03-11T21:21:45Z,20,45.6546283333,13.77536
2017-03-11T21:21:50Z,21,45.654675,13.7753466667
2017-03-11T21:21:55Z,23,45.65479,13.77526
2017-03-11T21:22:00Z,26,45.6548633333,13.7752033333
2017-03-11T21:22:05Z,27,45.654915,13.7751233333
2017-03-11T21:22:10Z,25,45.654975,13.7750733333
2017-03-11T21:22:15Z,26,45.6550716667,13.7750233333
2017-03-11T21:22:20Z,25,45.6551383333,13.7750166667
2017-03-11T21:22:25Z,23,45.655185,13.7750566667
2017-03-11T21:22:30Z,24,45.65523,13.7750733333
2017-03-11T21:22:35Z,23,45.65527,13.7750516667
2017-03-11T21:22:41Z,25,45.6553416667,13.7749233333
2017-03-11T21:22:46Z,26,45.655355,13.7748216667
2017-03-11T21:22:51Z,24,45.6553833333,13.7747033333
2017-03-11T21:22:56Z,24,45.6554166667,13.77462
2017-03-11T21:23:01Z,24,45.6554633333,13.7745216667
2017-03-11T21:23:06Z,20,45.655485,13.77443
2017-03-11T21:23:11Z,20,45.6555333333,13.7743483333
2017-03-11T21:23:16Z,20,45.655555,13.7742683333
2017-03-11T21:23:21Z,19,45.6555783333,13.77418
2017-03-11T21:23:26Z,23,45.655605,13.7740933333
2017-03-11T21:23:31Z,21,45.6556966667,13.7739966667
2017-03-11T21:23:36Z,21,45.6556916667,13.77396
2017-03-11T21:23:41Z,20,45.6557216667,13.7739266667
2017-03-11T21:23:46Z,19,45.65571,13.7739066667
2017-03-11T21:23:51Z,18,45.6557133333,13.7738766667
2017-03-11T21:23:56Z,18,45.6557233333,13.7738083333
2017-03-11T21:24:01Z,14,45.6557316667,13.7737416667
2017-03-11T21:24:06Z,17,45.6557416667,13.77366
2017-03-11T21:24:11Z,16,45.6557216667,13.77364
