id,value,captured_a,latitude,longitude
14894554,3260,2011-12-18,37.395293333333001,141.004169999999988
14463060,3521,2011-11-10,37.395341666667001,141.004101666670010
14866079,3860,2011-12-15,37.395248333333001,141.004231666669995
15152816,3320,2012-01-07,37.395093333333001,141.004424999999998
14753754,1870,2011-12-08,37.395196666666997,141.004275000000007
15254067,3332,2012-01-14,37.395026666667000,141.004506666670011
14892659,2316,2011-12-18,37.395370000000000,141.004001666670007
14033782,9178,2011-09-24,37.412520000000001,140.990739999999988
14891053,3955,2011-12-17,37.394953333333000,141.004568333330013
14081995,3646,2011-10-05,37.394938333333002,141.004590000000007
14032284,4101,2011-09-24,37.394955000000003,141.004553333329994
15143114,2718,2011-11-24,37.395046666667000,141.004413333330007
15119303,2718,2011-11-24,37.395046666667000,141.004413333330007
14477138,2021,2011-11-08,37.395029999999998,141.004436666669989
14315618,3629,2011-11-05,37.394816666666998,141.004709999999989
14894553,3349,2011-12-18,37.394898333333003,141.004586666670008
15556060,3492,2012-02-11,37.395961666666999,141.003095000000002
17578571,3492,2012-02-11,37.395961666666700,141.003095000000002
17578567,3678,2012-02-11,37.395406666666702,141.003843333333009
15556059,3678,2012-02-11,37.395406666667000,141.003843333329996
17828638,3679,2012-03-23,37.394648333333301,141.004908333332992
15863731,3679,2012-03-23,37.394648333333002,141.004908333330008
14963134,2547,2011-12-17,37.394669999999998,141.004866666670011
14475825,3865,2011-11-08,37.394596666666999,141.004973333330014
14866080,3694,2011-12-15,37.394733333333001,141.004766666670008
14894537,4274,2011-12-18,37.394698333332997,141.004799999999989
15863881,2236,2012-03-23,37.405785000000002,140.993856666670013
17828941,2236,2012-03-23,37.405785000000002,140.993856666667000
15254066,3424,2012-01-14,37.394483333333000,141.005099999999999
14890179,2294,2011-12-17,37.394680000000001,141.004805000000005
14463059,3541,2011-11-10,37.394685000000003,141.004796666669989
14251195,2759,2011-10-29,37.394295000000000,141.005381666669990
15152815,3407,2012-01-07,37.394486666666999,141.005088333330008
14894541,3892,2011-12-18,37.394876666667002,141.004508333329994
14894540,3987,2011-12-18,37.394874999999999,141.004508333329994
14753755,1943,2011-12-08,37.394623333333001,141.004861666669996
14894538,4130,2011-12-18,37.394821666666999,141.004556666669998
15152820,2824,2012-01-07,37.396621666667002,141.002115000000003
14894539,4077,2011-12-18,37.394849999999998,141.004498333329991
14894552,3397,2011-12-18,37.394781666667001,141.004591666669995
14081994,3733,2011-10-05,37.394386666667003,141.005163333329989
14894542,3842,2011-12-18,37.394846666667000,141.004476666670001
14894545,3605,2011-12-18,37.394808333333003,141.004521666670001
14894550,3462,2011-12-18,37.394808333333003,141.004521666670001
14894551,3442,2011-12-18,37.394808333333003,141.004521666670001
14894547,3372,2011-12-18,37.394808333333003,141.004521666670001
14894548,3338,2011-12-18,37.394808333333003,141.004521666670001
14894544,3698,2011-12-18,37.394808333333003,141.004521666670001
14894549,3387,2011-12-18,37.394808333333003,141.004521666670001
14894546,3470,2011-12-18,37.394808333333003,141.004521666670001
14894543,3780,2011-12-18,37.394808333333003,141.004520000000014
17828983,2171,2012-03-23,37.394570000000002,141.004870000000011
15863902,2171,2012-03-23,37.394570000000002,141.004870000000011
15863754,2444,2012-03-23,37.405751666667001,140.993799999999993
17828684,2444,2012-03-23,37.405751666666703,140.993799999999993
15143113,2800,2011-11-24,37.394424999999998,141.005069999999989
15119302,2800,2011-11-24,37.394424999999998,141.005069999999989
14477139,2014,2011-11-08,37.394404999999999,141.005095000000011
14032283,4146,2011-09-24,37.394293333333003,141.005251666670006
14315617,3674,2011-11-05,37.394250000000000,141.005303333330005
14892660,2283,2011-12-18,37.394611666666997,141.004756666670005
14891052,4051,2011-12-17,37.394288333333002,141.005239999999986
14894536,4365,2011-12-18,37.394183333332997,141.005355000000009
14475824,3920,2011-11-08,37.394018333333001,141.005590000000012
14033651,7584,2011-09-24,37.431848333333001,140.990739999999988
14866081,3480,2011-12-15,37.394176666667001,141.005320000000012
14463058,3633,2011-11-10,37.394084999999997,141.005453333329996
14963135,2606,2011-12-17,37.393999999999998,141.005563333330002
17828636,3619,2012-03-23,37.393974999999998,141.005598333333012
15863730,3619,2012-03-23,37.393974999999998,141.005598333329999
14866547,9357,2011-12-15,37.431796666666997,140.990683333329997
14081993,3803,2011-10-05,37.393881666666999,141.005728333330012
14753756,2015,2011-12-08,37.394048333332996,141.005461666669987
15152814,3431,2012-01-07,37.393855000000002,141.005756666670010
15254065,3467,2012-01-14,37.393873333332998,141.005721666670013
14232802,7716,2011-10-22,37.431914999999996,140.990693333330000
15556058,3771,2012-02-11,37.394653333332997,141.004506666670011
17578563,3771,2012-02-11,37.394653333333302,141.004506666666998
14890180,2314,2011-12-17,37.393934999999999,141.005574999999993
15863903,2261,2012-03-23,37.393931666667001,141.005560000000003
17828985,2261,2012-03-23,37.393931666666703,141.005560000000003
14251197,2873,2011-10-29,37.393556666667003,141.006123333330009
14033117,2209,2011-09-24,37.431811666667002,140.990598333330013
17578559,3761,2012-02-11,37.394058333333298,141.005320000000012
15556057,3761,2012-02-11,37.394058333333000,141.005320000000012
15119301,2866,2011-11-24,37.393819999999998,141.005688333329999
15143112,2866,2011-11-24,37.393819999999998,141.005688333329999
14477140,2076,2011-11-08,37.393770000000004,141.005738333329987
14315616,3730,2011-11-05,37.393661666667001,141.005888333330006
14032282,4196,2011-09-24,37.393656666666999,141.005878333330003
14894535,4397,2011-12-18,37.393611666666999,141.005941666669997
14891051,4130,2011-12-17,37.393630000000002,141.005869999999987
15152821,2661,2012-01-07,37.396946666666999,141.001276666670009
14892661,2306,2011-12-18,37.393841666667001,141.005525000000006
14033783,9087,2011-09-24,37.412433333332999,140.990280000000013
14866082,3246,2011-12-15,37.393605000000001,141.005878333330003
14463057,3605,2011-11-10,37.393479999999997,141.006075000000010
14475823,3905,2011-11-08,37.393414999999997,141.006156666669995
15153153,1916,2012-01-07,37.403030000000001,140.995338333330011
15556056,3663,2012-02-11,37.393443333333003,141.006076666669998
17578555,3663,2012-02-11,37.393443333333302,141.006076666667013
15254064,3488,2012-01-14,37.393238333333002,141.006406666669989
14081992,3835,2011-10-05,37.393356666667003,141.006198333329991
14753757,2123,2011-12-08,37.393446666667003,141.006040000000013
14963136,2738,2011-12-17,37.393290000000000,141.006231666670004
15863729,3531,2012-03-23,37.393258333333002,141.006256666669998
17828634,3531,2012-03-23,37.393258333333300,141.006256666667014
15152813,3394,2012-01-07,37.393191666667001,141.006364999999988
15119300,2894,2011-11-24,37.393216666667001,141.006268333330013
15143111,2894,2011-11-24,37.393216666667001,141.006268333330013
17828987,2434,2012-03-23,37.393163333333298,141.006288333333003
15863904,2434,2012-03-23,37.393163333333000,141.006288333329991
14890181,2428,2011-12-17,37.393148333333002,141.006304999999998
14477141,2268,2011-11-08,37.393090000000001,141.006333333329991
14032281,4079,2011-09-24,37.393031666667000,141.006415000000004
14315615,3685,2011-11-05,37.393006666666999,141.006428333330007
14894534,4361,2011-12-18,37.392993333333003,141.006435000000010
14866083,3170,2011-12-15,37.393021666667003,141.006366666670004
14892662,2388,2011-12-18,37.393090000000001,141.006253333329994
14891050,4065,2011-12-17,37.392989999999998,141.006406666669989
15152822,2567,2012-01-07,37.397281666666998,141.000419999999991
14475822,3866,2011-11-08,37.392796666667003,141.006644999999992
14463056,3483,2011-11-10,37.392776666666997,141.006619999999998
14753758,2312,2011-12-08,37.392814999999999,141.006546666670005
14251199,3068,2011-10-29,37.392699999999998,141.006721666669989
14081991,3760,2011-10-05,37.392746666667001,141.006609999999995
14033650,8017,2011-09-24,37.431705000000001,140.990010000000012
15556055,3397,2012-02-11,37.392683333332997,141.006651666669995
17578551,3397,2012-02-11,37.392683333333302,141.006651666667011
15254063,3373,2012-01-14,37.392586666667000,141.006775000000005
15863755,2409,2012-03-23,37.405701666666999,140.992950000000008
17828686,2409,2012-03-23,37.405701666666701,140.992950000000008
14963137,2972,2011-12-17,37.392558333333000,141.006789999999995
14033784,8953,2011-09-24,37.412329999999997,140.989723333330005
15143110,2825,2011-11-24,37.392510000000001,141.006733333330004
15119299,2825,2011-11-24,37.392510000000001,141.006733333330004
14232801,8157,2011-10-22,37.431693333333001,140.989849999999990
17828632,3300,2012-03-23,37.392478333333301,141.006754999999998
15863728,3300,2012-03-23,37.392478333333003,141.006754999999998
15152812,3257,2012-01-07,37.392406666667000,141.006808333330014
17828939,2322,2012-03-23,37.405726666666702,140.992768333333004
15863880,2322,2012-03-23,37.405726666667000,140.992768333329991
14866546,9872,2011-12-15,37.431648333333001,140.989763333329989
14033118,2612,2011-09-24,37.431678333332997,140.989755000000002
14894533,4271,2011-12-18,37.392368333333003,141.006821666669993
14866084,3187,2011-12-15,37.392403333333000,141.006746666670011
15152823,2387,2012-01-07,37.397624999999998,140.999545000000012
14477142,2504,2011-11-08,37.392344999999999,141.006803333329998
14315614,3528,2011-11-05,37.392331666666998,141.006823333330004
17828989,2560,2012-03-23,37.392278333333302,141.006889999999999
15863905,2560,2012-03-23,37.392278333333003,141.006889999999999
14890182,2607,2011-12-17,37.392253333333002,141.006896666670002
14032280,3742,2011-09-24,37.392305000000000,141.006801666669986
14891049,3879,2011-12-17,37.392285000000001,141.006830000000008
14475821,3753,2011-11-08,37.392191666667003,141.006904999999989
14892663,2589,2011-12-18,37.392234999999999,141.006818333329988
15153152,1876,2012-01-07,37.402589999999996,140.994706666669998
14753759,2517,2011-12-08,37.392105000000001,141.006914999999992
14081990,3700,2011-10-05,37.392053333333003,141.006924999999995
14963138,3068,2011-12-17,37.391956666666999,141.007073333329998
14463055,3397,2011-11-10,37.391943333333003,141.006991666669990
15254062,3251,2012-01-14,37.391860000000001,141.007033333330014
15152824,2242,2012-01-07,37.397966666667003,140.998653333329997
15143109,2720,2011-11-24,37.391858333332998,141.006990000000002
15119298,2720,2011-11-24,37.391858333332998,141.006990000000002
14033649,8359,2011-09-24,37.431641666666998,140.989274999999992
14251201,3236,2011-10-29,37.391751666666998,141.007126666669990
15556054,3248,2012-02-11,37.391833333332997,141.006976666669999
17578547,3248,2012-02-11,37.391833333333302,141.006976666666986
15863756,2380,2012-03-23,37.405686666667002,140.992251666670001
17828688,2380,2012-03-23,37.405686666666703,140.992251666666988
14894532,4224,2011-12-18,37.391753333333000,141.007049999999992
14033785,8767,2011-09-24,37.412264999999998,140.989118333329998
14866085,3203,2011-12-15,37.391721666667003,141.006996666670005
15152811,3204,2012-01-07,37.391610000000000,141.007080000000002
14315613,3460,2011-11-05,37.391596666666999,141.007080000000002
15863727,3174,2012-03-23,37.391606666667002,141.007055000000008
17828630,3174,2012-03-23,37.391606666666704,141.007055000000008
14475820,3678,2011-11-08,37.391551666666999,141.007096666670009
14477143,2726,2011-11-08,37.391550000000002,141.007065000000011
